track_name,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,cont_rating,prime_genre,lang.num,size_mb
Dictionary.com Dictionary & Thesaurus,0.0,200047,177,4.0,4.0,4+,Reference,1,106.1201171875
20 Minutes.fr - l'actualité en continu,0.0,112,0,3.5,0.0,12+,News,17,104.5380859375
The Masters Tournament,0.0,148160,63,4.5,3.5,4+,Sports,1,115.1328125
myAT&T,0.0,108507,628,3.0,3.0,4+,Utilities,2,65.318359375
SFR TV,0.0,46,0,3.0,0.0,4+,Entertainment,1,116.4951171875
"Shutterfly: Prints, Photo Books, Cards Made Easy",0.0,51427,874,4.0,5.0,4+,Photo & Video,1,116.6494140625
StickWars,0.99,53821,165,3.5,4.0,12+,Games,1,16.22265625
Indeed Job Search,0.0,38681,563,4.0,4.5,4+,Business,28,3.5205078125
World Cup Table Tennis™,0.99,17776,6,4.0,5.0,4+,Games,11,29.93359375
WhatsApp Messenger,0.0,287589,73088,4.5,4.5,4+,Social Networking,35,128.7880859375
"iStudiez Pro – Homework, Schedule, Grades",2.99,7308,15,4.0,4.5,4+,Productivity,30,53.2294921875
Zillow Real Estate - Homes for Sale & for Rent,0.0,342969,88478,4.5,4.5,4+,Lifestyle,1,126.48828125
2XL Supercross,4.99,6093,3,4.0,5.0,4+,Games,7,258.1875
Pocket Tanks Deluxe,4.99,5452,39,4.5,4.5,9+,Games,1,37.982421875
Wells Fargo Mobile,0.0,43064,216,3.0,2.5,4+,Finance,2,54.6728515625
radio.de - Der Radioplayer,0.0,64,9,4.5,5.0,4+,Music,14,38.8310546875
AutoScout24 - mobile used & new car market,0.0,220,2,4.5,5.0,4+,Productivity,13,134.5986328125
Sky Burger - Build & Match Food Free,0.0,114096,2157,4.5,4.0,4+,Games,3,139.4541015625
MindNode – Delightful Mind Mapping,9.99,1296,4,4.0,5.0,4+,Productivity,13,49.8720703125
Packing Pro,2.99,1293,31,4.0,5.0,4+,Travel,11,15.576171875
USAA Mobile,0.0,19946,13,4.0,2.5,4+,Finance,1,156.767578125
The Moron Test,0.0,88613,392,4.0,4.5,4+,Entertainment,1,43.5947265625
Sunday Lawn,0.99,107727,55,3.5,4.5,4+,Games,1,15.3408203125
Peggle Classic,0.99,21416,974,4.5,4.5,4+,Games,5,213.4375
SmartGo Player,2.99,533,27,4.0,4.0,4+,Games,9,21.1328125
I Am T-Pain 2.0,2.99,32650,754,3.5,3.5,12+,Music,1,19.59064483642578
TextNow - Unlimited Text + Calls,0.0,164963,69,3.5,4.0,4+,Social Networking,3,124.5859375
Boating Weather,1.99,141,15,3.0,3.0,4+,Weather,1,8.48828125
Best Buy,0.0,80424,46,4.0,4.5,4+,Shopping,2,172.138671875
I Dig It,0.99,17190,180,4.0,4.5,4+,Games,1,18.93359375
Unblock Me,0.99,7973,127,4.0,5.0,4+,Games,15,40.9375
Sonic The Hedgehog,2.99,19621,1191,4.0,4.5,4+,Games,1,34.9931640625
10 Pin Shuffle Pro Bowling,3.99,7315,138,4.0,4.5,4+,Games,6,34.9501953125
Sky News,0.0,118,0,3.0,0.0,12+,News,1,87.44921875
"ESPN: Get scores, news, alerts & watch live sports",0.0,290996,150,3.5,3.5,4+,Sports,2,49.1513671875
LiveATC Air Radio,3.99,2785,90,4.0,4.0,4+,Travel,26,7.91796875
The Sims 3,6.99,54408,65,3.5,2.0,12+,Games,8,410.2021484375
"Chess Pro with Coach - Learn,Play & Online Friends",9.99,8138,107,4.0,4.5,4+,Games,13,66.7197265625
Guess My Age  Math Magic,0.0,123190,68841,3.0,3.0,4+,Education,1,0.7315883636474609
Crush the Castle,0.99,23810,582,3.5,4.0,12+,Games,1,12.394550323486328
2016 U.S. Open Golf Championship,0.0,54192,32,4.0,2.0,4+,Sports,1,133.0810546875
"The Championships, Wimbledon 2016 - Tennis Grand Slam",0.0,20953,481,4.0,4.0,4+,Sports,1,124.353515625
TuneIn Radio Pro - MLB Audiobooks Podcasts Music,9.99,71609,99,4.5,4.0,12+,Music,14,97.2041015625
NBC News,0.0,32881,7,3.5,2.0,12+,News,1,50.498046875
"Grindr - Gay and same sex guys chat, meet and date",0.0,23201,14,2.5,2.0,17+,Social Networking,5,76.6845703125
Whole Foods Market,0.0,17906,4,3.0,3.0,4+,Shopping,1,130.951171875
NAVIGON Europe,74.99,927,3,3.5,2.5,4+,Navigation,21,137.72265625
Virtual Families,1.99,18920,3014,3.5,4.5,9+,Games,1,26.46090793609619
Sparkasse+,0.99,30,0,3.0,0.0,4+,Finance,3,114.10546875
Sparkasse - Your mobile branch,0.0,77,1,3.0,4.0,4+,Finance,3,114.03515625
Sleep Cycle alarm clock,0.0,104539,11,4.5,4.5,4+,Health & Fitness,13,75.6416015625
FACEinHOLE®,0.99,4016,1,4.0,5.0,12+,Photo & Video,1,12.224609375
Harvest - Select the Best Produce,1.99,299,28,4.0,4.5,4+,Food & Drink,1,17.32421875
WORMS,1.99,5758,9,4.0,3.0,12+,Games,1,242.0751953125
Pixel Starships™ : 8Bit MMORPG,0.0,5565,140,4.5,4.5,9+,Games,17,65.8828125
Traffic Rush,0.99,213092,51,3.5,4.5,9+,Games,1,8.1767578125
MyRadar NOAA Weather Radar Forecast,0.0,150158,3392,4.5,5.0,4+,Weather,8,121.3876953125
Resident Evil 4: PLATINUM,4.99,6046,446,4.0,4.0,12+,Games,1,77.60467338562012
"Waze - GPS Navigation, Maps & Real-time Traffic",0.0,345046,3040,4.5,4.5,4+,Navigation,36,89.7783203125
Cartoon Wars,0.99,35930,262,3.5,4.0,12+,Games,1,12.604707717895508
Moto X Mayhem,0.99,22557,526,4.0,4.0,4+,Games,1,20.036897659301758
Fantasy Football Manager - FFM for FPL,0.99,292,1,3.0,5.0,17+,Sports,1,34.3310546875
Spotify Music,0.0,878563,8253,4.5,4.5,12+,Music,18,126.3720703125
McDo France,0.0,22,0,3.5,0.0,4+,Food & Drink,30,35.287109375
PGA Championship 2016 – Baltusrol Golf Club,0.0,10472,58,3.5,2.0,17+,Sports,1,61.17578125
BFMTV : l'info en continu,0.0,115,70,4.0,5.0,17+,News,1,96.1103515625
"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",1.99,13915,205,4.5,5.0,4+,Weather,8,117.9873046875
Spider:  The Secret of Bryce Manor,1.99,6780,68,4.0,4.5,9+,Games,5,120.4609375
My Measures PRO,7.99,1701,35,4.0,4.5,4+,Productivity,21,76.181640625
Food Additives Checker (E Numbers),1.99,6,0,3.5,0.0,4+,Health & Fitness,8,6.12109375
SFR Mon Compte,0.0,19,0,3.0,0.0,4+,Utilities,1,70.6611328125
Baby Connect (Activity Log),4.99,3483,79,4.5,5.0,4+,Medical,14,12.337890625
Epson iPrint,0.0,2838,26,3.0,2.5,4+,Photo & Video,12,50.9150390625
Mad Libs,0.0,117889,725,3.0,4.5,4+,Entertainment,1,113.0087890625
BATTLE BEARS: Zombies!,0.99,50710,309,3.5,4.0,9+,Games,1,98.41697216033936
Hurricane Tracker,2.99,3960,0,4.5,0.0,4+,Weather,1,23.4365234375
NFL Sunday Ticket,0.0,24258,305,3.0,2.5,4+,Entertainment,1,91.6416015625
2016 US Open Tennis Championships,0.0,37522,39,4.0,3.0,4+,Sports,1,74.1005859375
Dropbox,0.0,49578,16,3.5,3.0,4+,Productivity,20,172.4287109375
Wa Kingyo - Goldfish Pond,0.99,626,44,4.0,5.0,4+,Entertainment,2,53.78515625
Monkey Preschool Lunchbox,1.99,9286,49,4.0,3.5,4+,Games,1,218.6513671875
Yahoo Fantasy Sports,0.0,190670,19,3.5,2.5,17+,Sports,45,124.931640625
Gaia GPS Classic,19.99,2429,8,4.5,3.5,4+,Navigation,16,50.6376953125
iLoan Calc (Loan calculator),3.99,0,0,0.0,0.0,4+,Finance,3,3.21875
Geocaching®,0.0,12811,134,3.5,1.5,4+,Navigation,22,103.1552734375
Camera+,1.99,32338,261,4.0,4.5,4+,Photo & Video,10,85.0556640625
Alter Ego,4.99,262,43,4.0,4.0,12+,Games,1,13.015625
Parking Mania,0.99,9657,47,4.5,4.5,4+,Games,12,117.8212890625
Sudoku⁺,2.99,18332,1007,4.5,5.0,4+,Games,2,1.5341796875
Period Tracker Lite,0.0,53620,2872,4.0,5.0,12+,Health & Fitness,15,47.845703125
Camera Plus: For Macro Photos & Remote Photography,0.99,38533,36,2.5,3.5,4+,Photo & Video,11,96.494140625
The perfect Egg timer,0.99,40,0,3.5,0.0,4+,Food & Drink,7,14.619140625
Letter Quiz - alphabet tracing for kids,1.99,472,0,4.0,0.0,4+,Games,1,30.3701171875
Starbucks,0.0,303856,7027,4.5,4.5,4+,Food & Drink,2,128.77734375
央视影音-海量央视内容高清直播,0.0,2070,0,2.5,0.0,4+,Sports,1,52.1171875
Bloons TD,2.99,7941,76,4.0,3.5,4+,Games,1,8.041603088378906
Weight Watchers,0.0,136833,64,3.5,4.5,12+,Health & Fitness,6,220.0322265625
"CNN: Breaking US & World News, Live Video",0.0,112886,298,3.5,1.5,12+,News,1,76.49609375
Gilt,0.0,26353,3,3.5,2.5,4+,Shopping,2,141.3359375
TRUTH or DARE!!! - FREE,0.0,171055,31,3.0,3.5,12+,Entertainment,1,19.83203125
Canabalt,2.99,4540,140,4.0,4.5,9+,Games,15,26.640625
Alipay - Makes Life Easy,0.0,1926,2,3.0,3.0,4+,Lifestyle,3,198.6591796875
Scanner911 Pro,3.99,14345,100,4.0,2.5,12+,News,1,32.24609375
Daily Teachings,4.99,1340,288,4.5,5.0,4+,Lifestyle,1,19.3583984375
Scanner Pro - PDF document scanner app with OCR,3.99,31912,154,4.5,5.0,4+,Business,9,96.6513671875
Twitter,0.0,354058,452,3.5,4.0,17+,News,33,200.814453125
"Trainline UK: Live Train Times, Tickets & Planner",0.0,248,0,4.0,0.0,4+,Travel,1,105.09375
CBS News - Watch Free Live Breaking News,0.0,11691,44,3.5,4.5,12+,News,1,74.431640625
iOvilus,1.99,381,6,3.0,2.0,12+,Entertainment,1,9.4853515625
The Impossible Quiz!,0.0,18884,451,4.0,4.5,9+,Entertainment,1,42.583984375
WolframAlpha,2.99,7410,82,4.0,4.5,9+,Reference,1,28.962890625
Catan,1.99,15175,308,4.0,4.0,4+,Games,6,358.7451171875
ScanBizCards Business Card Reader,0.99,3166,34,4.0,4.5,4+,Business,5,92.330078125
"Walgreens – Pharmacy, Photo, Coupons and Shopping",0.0,88885,333,4.5,4.0,12+,Shopping,1,161.302734375
King of Dragon Pass,9.99,882,85,5.0,5.0,12+,Games,1,347.60546875
Stylebook,3.99,1729,599,4.0,4.5,17+,Lifestyle,3,42.0908203125
NBA,0.0,43682,19,3.5,2.5,4+,Sports,1,106.8828125
Blower,0.99,861,70,2.0,2.5,4+,Entertainment,1,94.359375
My Cycles Period and Ovulation Tracker,0.0,7469,68,3.5,5.0,12+,Health & Fitness,2,74.087890625
"Kmart – Download Now, Shop Online & Pick Up Today!",0.0,4186,6,3.5,4.5,4+,Shopping,1,90.119140625
优酷视频,0.0,4885,0,3.5,0.0,12+,Entertainment,2,195.46484375
DOOM Classic,4.99,3970,509,4.0,4.0,17+,Games,5,31.27734375
SoundCloud - Music & Audio,0.0,135744,594,4.0,4.5,4+,Music,7,100.14453125
imo video calls and chat,0.0,18841,0,4.0,0.0,4+,Social Networking,29,21.517578125
Plane Finder - Flight Tracker,3.99,1438,171,4.0,4.0,4+,Navigation,10,50.1943359375
"Runtastic Running, Jogging and Walking Tracker",0.0,10298,7,4.5,3.5,4+,Health & Fitness,15,144.375
iFiles,0.99,1842,23,3.5,2.5,4+,Productivity,1,45.130859375
TeachMe: Kindergarten,1.99,2548,5,4.0,4.0,4+,Education,1,57.07421875
Moorhuhn Deluxe - Crazy Chicken,0.99,319,12,3.0,5.0,12+,Games,5,26.51953125
Victoria’s Secret – The Sexiest Bras & Lingerie,0.0,34507,38,3.5,5.0,12+,Shopping,1,58.1513671875
MONOPOLY Game,0.99,26482,331,3.5,2.5,4+,Games,6,185.3818359375
n-tv Nachrichten,0.0,273,0,3.0,0.0,12+,News,1,47.1787109375
Shazam Encore,2.99,8331,24,4.0,3.5,12+,Music,15,140.302734375
Harry Potter: Spells,0.99,17023,916,4.0,4.5,4+,Games,1,119.6015625
First Words Deluxe,4.99,1101,8,4.0,4.0,4+,Games,1,60.3837890625
Clay Hunt,0.99,1193,1,4.0,2.0,17+,Games,1,14.6044921875
Dream Team - be your own fantasy football manager,0.0,35,0,2.5,0.0,17+,Sports,1,66.58203125
Jet Car Stunts,1.99,4088,436,4.0,4.5,4+,Games,1,31.32716178894043
Call of Duty: Zombies,4.99,63943,31264,4.0,4.0,17+,Games,1,50.3743782043457
"Walmart: Free 2-Day Shipping,* Easy Store Shopping",0.0,70286,51,3.0,4.0,4+,Shopping,1,139.720703125
AirWatch Agent,0.0,1150,0,2.5,0.0,4+,Business,19,23.6005859375
Shop Savvy Barcode Scanner - Price Compare & Deals,0.0,54630,280,2.5,4.5,4+,Shopping,1,85.3701171875
Voice Changer Plus,0.0,98777,233,3.0,4.0,4+,Entertainment,12,38.8359375
CatPaint,0.99,649,11,4.0,4.0,4+,Photo & Video,1,69.935546875
Redbox,0.0,60236,58,3.0,4.5,12+,Entertainment,1,80.01953125
クックパッド - No.1料理レシピ検索アプリ,0.0,115,0,3.5,0.0,4+,Food & Drink,1,73.09375
Trenches,0.99,26732,1428,4.0,4.5,17+,Games,1,35.610445976257324
The Christmas List,1.99,2722,1,4.5,5.0,4+,Shopping,1,24.9267578125
Macy's,0.0,11013,76,3.5,5.0,4+,Shopping,1,102.822265625
Calorie Counter & Diet Tracker by MyFitnessPal,0.0,507706,181,4.5,4.5,4+,Health & Fitness,19,145.626953125
BlaBlaCar - Trusted Carpooling,0.0,397,0,4.5,0.0,4+,Travel,16,106.8349609375
Refills Calendar - Scheduler - Note,9.99,196,3,4.0,5.0,4+,Productivity,2,34.203125
5-0 Radio Pro Police Scanner (Extra Feeds),3.99,24553,2620,4.0,4.5,9+,News,26,47.296875
Hipstamatic,2.99,12557,6,3.5,5.0,4+,Photo & Video,15,108.796875
Sing Karaoke Songs Unlimited with StarMaker,0.0,26227,7,4.0,4.5,9+,Music,14,87.0390625
TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF,4.99,28388,7009,5.0,5.0,4+,Business,9,8.4130859375
Positivity with Andrew Johnson,2.99,282,1,4.0,5.0,4+,Health & Fitness,1,66.29296875
Rat On A Scooter XL,0.99,19296,7,4.0,4.0,4+,Games,1,7.4072265625
IMDb Movies & TV - Trailers and Showtimes,0.0,183425,4724,4.5,5.0,12+,Entertainment,10,84.59375
Angry Birds,0.0,824451,107,4.5,3.0,4+,Games,10,167.814453125
DB Navigator,0.0,512,6,3.5,5.0,4+,Travel,2,80.86328125
Video Calls with Santa,2.99,315,0,3.5,0.0,4+,Lifestyle,31,26.7001953125
Voyages-sncf.com : book train and bus tickets,0.0,268,0,3.5,0.0,4+,Travel,6,125.373046875
The Font Game,1.99,438,295,4.5,4.5,4+,Games,1,5.164146423339844
ImmobilienScout24: Real Estate Search in Germany,0.0,187,0,3.5,0.0,4+,Navigation,3,120.990234375
Grand Theft Auto: Chinatown Wars,4.99,15142,73,4.0,4.0,17+,Games,6,838.1689453125
Southwest Airlines,0.0,30552,18,3.0,2.5,4+,Travel,1,84.6611328125
The Sims 3 World Adventures,2.99,9744,42,3.5,3.0,12+,Games,6,775.1064453125
Star Chart,0.0,13482,2517,4.5,4.5,4+,Education,8,27.291015625
TaxCaster – Free tax refund calculator,0.0,17516,125,3.5,5.0,4+,Finance,1,6.7822265625
Glow Hockey 2 FREE,0.0,186653,226,3.5,3.5,4+,Games,1,32.479063987731934
"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",0.99,10031,142,4.0,5.0,4+,Entertainment,1,20.45703125
TV SPIELFILM - TV Programm mit Live TV,0.0,81,0,3.0,0.0,4+,Entertainment,1,93.3447265625
All-in-1 Logic GameBox,0.99,9854,823,4.0,4.0,4+,Games,1,21.266003608703613
Roadside America,2.99,1093,106,4.0,4.5,9+,Travel,1,9.7578125
Pocket Yoga,2.99,4475,95,4.5,4.5,4+,Health & Fitness,2,126.3427734375
Sonic the Hedgehog 2,2.99,9405,1089,4.0,4.5,4+,Games,1,44.9970703125
Simply Being - Guided Meditation for Relaxation and Presence,1.99,2417,1366,4.5,4.5,4+,Health & Fitness,1,95.4140625
CamCard - Business card scanner & reader,0.99,2923,300,4.5,4.5,4+,Business,7,166.740234375
This American Life,2.99,8657,1468,3.5,4.0,9+,Entertainment,1,13.08984375
Timetracks - Slit-Scan Camera,0.99,70,1,2.0,1.0,4+,Photo & Video,5,10.8427734375
franceinfo - l'actualité & les élections en direct,0.0,162,32,4.0,5.0,17+,News,2,148.6376953125
DOUBUTSU URANAI®-Animal Fortune-,0.99,5,0,4.0,0.0,4+,Lifestyle,2,36.9248046875
Doodle Army,0.99,12354,1428,4.0,4.5,12+,Games,1,17.051000595092773
